stock1,stock2,weight1,weight2,model,p_val,mean,std,skewness
1301,2823,-0.4387318323748429,0.5612681676251571,model3,0.38187136247655185,-0.10335989087013614,0.001016294366910186,1.9901761173460584
2412,2883,0.7118123659870527,0.2881876340129473,model3,0.017601247954392236,3.9447708897820712,0.0010882156856827291,0.27903452802861795
2412,2888,0.5707546312039946,0.4292453687960055,model3,0.029844218254450283,3.485598065793987,0.000989976155882059,0.46240006208477374
2883,2886,-0.3048626527666783,0.6951373472333217,model3,0.06116887305104074,1.5266636876156707,0.0007753394882593598,-0.38805291090631244
2883,2892,-0.19128241299282023,0.8087175870071799,model3,0.047987782678800876,1.835146485433846,0.0010246299365525584,-0.1933334004288128
2883,1434,-0.24882009153638168,0.7511799084636183,model3,0.06588816484964617,2.0600212096267048,0.0006870147235955214,0.04733286007460088
2883,2324,-0.35813818598710134,0.6418618140128985,model3,0.06227869968875322,1.1868219762489123,0.0007588917358104493,0.2749933326926949
2892,2888,-0.7860381411644968,0.21396185883550317,model3,0.0113301577900479,-1.7736145509081864,0.0010338542739014417,0.10307151360844509
1434,2834,-0.7859260229156985,0.21407397708430145,model3,0.044951700035909516,-2.250026465720305,0.000825349704589503,-0.1624556034411135
2324,2353,-0.7849772575671329,0.21502274243286706,model3,0.05225552324508408,-1.8490549968035024,0.0011175879076507616,-0.10614197324979989
2834,2888,-0.3944186617069811,0.6055813382930189,model3,0.037262068017806765,0.30222553867575475,0.0008799915627644549,1.0634431006853304
2303,2357,-0.5331808879688434,0.46681911203115656,model3,0.4890465257061108,1.2630190646041337,0.0008733352087245814,0.19959961843409035
2379,6452,0.7593154784905195,0.24068452150948044,model3,0.01152901298898695,4.788110797751366,0.0021933709595258837,-0.3005211308004578
2880,2881,-0.7946212397624182,0.2053787602375818,model3,0.006723201915435827,-1.4315016331555652,0.0011089209858934517,0.20673654875737787
2880,2882,-0.8307856707777298,0.1692143292222702,model3,0.08947814325911901,-1.6708781008424303,0.0011890366466267923,0.10173688786751948
2881,2882,-0.5943774583852378,0.4056225416147622,model3,0.07134829552223099,-0.7131559455656163,0.0005495281856559449,-0.6064904787577355
