stock1,stock2,weight1,weight2,model,p_val,mean,std,skewness
1301,2834,-0.4880925834680136,0.5119074165319863,model3,0.07167868746712472,-1.0626068657943366,0.0005693128401071188,-0.6514265407226623
1301,3702,-0.4783557859834737,0.5216442140165264,model3,0.17306247319687107,-0.24659940936638197,0.0005279502911040018,0.06908120449237781
1303,2834,-0.47934966072329327,0.5206503392767067,model3,0.02061463785832393,-0.8840991209209793,0.0008011050797921711,0.08914365974789473
1303,3702,-0.4494061188690056,0.5505938811309945,model3,0.1276451182097444,0.09557802707619435,0.0006822853600323272,-0.6391215316840929
2892,2834,0.42747186854390345,-0.5725281314560965,model1,0.8373694498661549,1.4523183170844037e-05,0.0005979826798829045,0.17554791136065356
2892,3702,-0.5646778838393567,0.43532211616064326,model3,0.0029900186544350987,-0.03405149144526188,0.0007668454648689177,-0.07320077105209977
2834,3702,-0.44380262519501473,0.5561973748049853,model3,0.010008464752381116,1.0356660074385884,0.0006830530785321115,0.1414722563569202
