stock1,stock2,weight1,weight2,model,p_val,mean,std,skewness
2542,3702,-0.2928331083516194,0.7071668916483806,model3,0.047817120703350154,1.4180740795996627,0.0008739692851491472,0.23167376202086057
3702,6285,-0.9861116426706039,-0.013888357329396047,model3,0.029215312527741052,-3.618727280276138,0.0011965454031334598,0.21117093308262258
2408,9904,-0.5445384374749268,-0.45546156252507325,model2,0.5349382954773433,-3.7318691510202053,0.0009316282672540427,-1.83687858228269
2881,2884,-0.07394547158256068,-0.9260545284174393,model2,0.5095825091901703,-2.9542469931568163,0.001167425353460492,-0.5520866343599892
2883,2884,-0.34349744959903805,0.656502550400962,model3,0.03889204764968697,1.1801872194125798,0.0007334138222589797,0.0034747404309309494
2883,3231,-0.42890917400546513,0.5710908259945349,model3,0.029415840520258616,0.9140233062132727,0.0006155452817070597,-0.32149871764039484
2884,2886,-0.7838826067269358,0.21611739327306417,model3,0.14909613291428722,-1.5959460160780163,0.0008757256857951383,-0.19277317773822972
2884,3231,-0.5929926844598076,0.4070073155401923,model3,0.003448536054727385,-0.4241587959371045,0.000653166071001116,-0.041930502586515095
1303,2412,-0.24278674435316028,0.7572132556468397,model3,0.14647600601895028,2.5617539690676736,0.001154523302514251,0.06863637954057945
