stock1,stock2,weight1,weight2,model,p_val,mean,std,skewness
2881,2883,-0.5202442317208427,0.4797557682791574,model3,0.16538411577161602,-0.9792766613350549,0.0006346439469961477,0.04352530037168797
2883,2890,-0.48942599073171655,0.5105740092682836,model3,0.06461161385647485,0.11896519127865728,0.00041577925133601804,-0.6066539759113846
1326,1504,-0.678878458360088,0.321121541639912,model3,0.19474343445135442,-1.9381135334159982,0.0007220190135460826,0.06404081587867116
2886,3481,-0.4827846311133441,0.517215368886656,model3,0.009316017933001125,-0.24567410478652438,0.0012745815039678322,-1.1228350324657623
2886,1504,-0.7791961853899246,-0.22080381461007528,model3,0.1152373809680058,-3.140968644879661,0.001135039618590403,-0.47534083054154214
2886,2834,0.40402109866563723,-0.5959789013343627,model1,0.8379596105501742,5.203845790638706e-05,0.0007544943133551051,0.5074934802582696
3481,6505,-0.7193401079694408,-0.2806598920305592,model3,0.2854691141839572,-3.0103493600516646,0.0016960523248512578,0.544911544958502
3481,1504,-0.7857674618253663,-0.21423253817463367,model3,0.32779682854028575,-2.6045000533940312,0.0019394794203592201,0.575551810372808
3481,2834,0.4650059987053938,-0.5349940012946063,model1,0.846188888351056,-1.9412415086339507e-05,0.0010361060312185529,-0.20465926214418512
6505,2834,0.2118483499137296,0.7881516500862703,model3,0.3117693414698614,2.6151013996355785,0.0007036827054742855,-0.17426333028079166
1504,2834,0.1603548798813448,0.8396451201186551,model3,0.2135450819008584,2.2912952402297933,0.0007768584067067711,-0.34120681680478276
